VENDOR INVOICE REGISTER — 500 Invoices WITH Embedded Anomalies,,,,,,,,,,,,,,,,,,,
Find: 38 Duplicates | 52 Rate Mismatches | 24 Ghost Invoices | 41 3-Way Match Failures,,,,,,,,,,,,,,,,,,,
Invoice No,Invoice Date,Receipt Date,Vendor ID,Vendor Name,PO Reference,GRN Reference,Item Description,Qty Billed,Rate Billed (Rs.),Basic Amt (Rs.),GST %,GST Amt (Rs.),Total Invoice (Rs.),Payment Terms,Due Date,Payment Status,Submitted Via,Processed By,Notes
INV/V010/66295,06/21/2023,22-06-2023,V010,Verma Auto Parts,PO/FY24/0110,GRN/FY24/0110,Welding Rods,545,210.00,"114,450.00",18,"20,601.00","135,051.00",45,05/08/2023,Pending,Email,AP Clerk - Sunita,
INV/V001/46307,04-09-2023,04-09-2023,V001,Sharma Enterprises,PO/FY24/0111,GRN/FY24/0111,Steel Sheets 2mm,496,180.00,"89,280.00",18,"16,070.40","105,350.40",45,19-10-2023,Pending,Courier,AP Clerk - Ramesh,
INV/V002/67939,22-06-2023,22-06-2023,V002,Rajput Steel Works,PO/FY24/0112,GRN/FY24/0112,Aluminium Rods,489,280.00,"136,920.00",18,"24,645.60","161,565.60",60,21-08-2023,Pending,Email,AP Clerk - Sunita,
INV/V003/72909,20-01-2024,23-01-2024,V003,Gupta Packaging,PO/FY24/0113,GRN/FY24/0113,Rubber Gaskets,275,52.00,"14,300.00",18,"2,574.00","16,874.00",60,20-03-2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V004/89014,19-06-2023,21-06-2023,V004,Singh Logistics,PO/FY24/0114,GRN/FY24/0114,Cutting Tools Set,274,"1,450.00","397,300.00",18,"71,514.00","468,814.00",60,18/08/2023,Pending,Portal,AP Clerk - Ramesh,
INV/V005/26176,26/05/2023,28-05-2023,V005,Mehta Industries,PO/FY24/0115,GRN/FY24/0115,Lubricating Oil,425,490.00,"208,250.00",18,"37,485.00","245,735.00",45,10-07-2023,Pending,Portal,AP Clerk - Sunita,
INV/V006/98469,20/07/2023,20-07-2023,V006,Joshi Components,PO/FY24/0116,GRN/FY24/0116,Corrugated Boxes,92,22.00,"2,024.00",12,242.88,"2,266.88",45,09/03/2023,Pending,Courier,AP Clerk - Sunita,
INV/V007/41751,10-05-2023,12-05-2023,V007,Agarwal Metals,PO/FY24/0117,GRN/FY24/0117,Ball Bearings,240,260.00,"62,400.00",18,"11,232.00","73,632.00",30,09-06-2023,Pending,Email,AP Clerk - Sunita,
INV/V008/92851,08-07-2023,10/07/2023,V008,Patel Suppliers,PO/FY24/0118,GRN/FY24/0118,Hydraulic Hoses,530,720.00,"381,600.00",18,"68,688.00","450,288.00",45,22-08-2023,Pending,Email,AP Clerk - Sunita,
INV/V009/65335,30-05-2023,01-06-2023,V009,Kumar Trading,PO/FY24/0119,GRN/FY24/0119,Safety Gloves,778,95.00,"73,910.00",5,"3,695.50","77,605.50",60,29-07-2023,Pending,Courier,AP Clerk - Sunita,
INV/V010/68879,21-12-2023,23-12-2023,V010,Verma Auto Parts,PO/FY24/0120,GRN/FY24/0120,Welding Rods,740,210.00,"155,400.00",18,"27,972.00","183,372.00",45,04-02-2024,Pending,Courier,AP Clerk - Sunita,
INV/V001/96397,21-09-2023,22/09/2023,V001,Sharma Enterprises,PO/FY24/0121,GRN/FY24/0121,Steel Sheets 2mm,667,180.00,"120,060.00",18,"21,610.80","141,670.80",60,20-11-2023,Pending,Email,AP Clerk - Sunita,
INV/V002/50337,14-06-2023,15-06-2023,V002,Rajput Steel Works,PO/FY24/0122,GRN/FY24/0122,Aluminium Rods,133,280.00,"37,240.00",18,"6,703.20","43,943.20",60,13-08-2023,Pending,Courier,AP Clerk - Sunita,
INV/V003/99577,06/01/2023,06/03/2023,V003,Gupta Packaging,PO/FY24/0123,GRN/FY24/0123,Rubber Gaskets,185,52.00,"9,620.00",18,"1,731.60","11,351.60",30,01-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/28291,06-08-2023,06-08-2023,V004,Singh Logistics,PO/FY24/0124,GRN/FY24/0124,Cutting Tools Set,245,"1,450.00","355,250.00",18,"63,945.00","419,195.00",30,05/09/2023,Pending,Email,AP Clerk - Mohan,
INV/V005/18464,10-10-2023,13-10-2023,V005,Mehta Industries,PO/FY24/0125,GRN/FY24/0125,Lubricating Oil,73,490.00,"35,770.00",18,"6,438.60","42,208.60",60,09-12-2023,Pending,Email,AP Clerk - Mohan,
INV/V006/32553,04-05-2023,06/05/2023,V006,Joshi Components,PO/FY24/0126,GRN/FY24/0126,Corrugated Boxes,716,22.00,"15,752.00",12,"1,890.24","17,642.24",30,03-06-2023,Pending,Email,AP Clerk - Sunita,
INV/V007/74801,25-04-2024,28/04/2024,V007,Agarwal Metals,PO/FY24/0127,GRN/FY24/0127,Ball Bearings,662,260.00,"172,120.00",18,"30,981.60","203,101.60",60,24-06-2024,Pending,Email,AP Clerk - Sunita,
INV/V008/67607,31/07/2023,02-08-2023,V008,Patel Suppliers,PO/FY24/0128,GRN/FY24/0128,Hydraulic Hoses,418,720.00,"300,960.00",18,"54,172.80","355,132.80",30,30-08-2023,Pending,Email,AP Clerk - Ramesh,
INV/V009/87071,23/10/2023,26-10-2023,V009,Kumar Trading,PO/FY24/0129,GRN/FY24/0129,Safety Gloves,514,95.00,"48,830.00",5,"2,441.50","51,271.50",60,22-12-2023,Pending,Email,AP Clerk - Mohan,
INV/V010/45188,08/01/2023,03-08-2023,V010,Verma Auto Parts,PO/FY24/0130,GRN/FY24/0130,Welding Rods,581,210.00,"122,010.00",18,"21,961.80","143,971.80",45,15/09/2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/35686,23/07/2023,25-07-2023,V001,Sharma Enterprises,PO/FY24/0131,GRN/FY24/0131,Steel Sheets 2mm,770,180.00,"138,600.00",18,"24,948.00","163,548.00",30,22/08/2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V002/81470,04-08-2023,06-08-2023,V002,Rajput Steel Works,PO/FY24/0132,GRN/FY24/0132,Aluminium Rods,139,280.00,"38,920.00",18,"7,005.60","45,925.60",30,03-09-2023,Pending,Email,AP Clerk - Mohan,
INV/V003/90364,27-09-2023,28/09/2023,V003,Gupta Packaging,PO/FY24/0133,GRN/FY24/0133,Rubber Gaskets,430,52.00,"22,360.00",18,"4,024.80","26,384.80",30,27-10-2023,Pending,Email,AP Clerk - Mohan,
INV/V004/57801,03-09-2023,04-09-2023,V004,Singh Logistics,PO/FY24/0134,GRN/FY24/0134,Cutting Tools Set,378,"1,450.00","548,100.00",18,"98,658.00","646,758.00",45,10/18/2023,Pending,Email,AP Clerk - Sunita,
INV/V005/19522,23-10-2023,26-10-2023,V005,Mehta Industries,PO/FY24/0135,GRN/FY24/0135,Lubricating Oil,737,490.00,"361,130.00",18,"65,003.40","426,133.40",30,22-11-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V006/59587,27-01-2024,01/27/2024,V006,Joshi Components,PO/FY24/0136,GRN/FY24/0136,Corrugated Boxes,616,22.00,"13,552.00",12,"1,626.24","15,178.24",45,12-03-2024,Pending,Email,AP Clerk - Mohan,
INV/V007/74340,11-07-2023,13/07/2023,V007,Agarwal Metals,PO/FY24/0137,GRN/FY24/0137,Ball Bearings,256,260.00,"66,560.00",18,"11,980.80","78,540.80",45,25-08-2023,Pending,Courier,AP Clerk - Ramesh,
INV/V008/45970,05-08-2023,07-08-2023,V008,Patel Suppliers,PO/FY24/0138,GRN/FY24/0138,Hydraulic Hoses,297,720.00,"213,840.00",18,"38,491.20","252,331.20",60,04-10-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V009/30126,11-08-2023,13-08-2023,V009,Kumar Trading,PO/FY24/0139,GRN/FY24/0139,Safety Gloves,514,95.00,"48,830.00",5,"2,441.50","51,271.50",30,09/10/2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V010/15341,11/27/2023,30-11-2023,V010,Verma Auto Parts,PO/FY24/0140,GRN/FY24/0140,Welding Rods,600,210.00,"126,000.00",18,"22,680.00","148,680.00",60,01/26/2024,Pending,Courier,AP Clerk - Sunita,
INV/V001/69469,30-05-2023,06/01/2023,V001,Sharma Enterprises,PO/FY24/0141,GRN/FY24/0141,Steel Sheets 2mm,188,180.00,"33,840.00",18,"6,091.20","39,931.20",30,29-06-2023,Pending,Email,AP Clerk - Mohan,
INV/V002/58598,16-07-2023,17-07-2023,V002,Rajput Steel Works,PO/FY24/0142,GRN/FY24/0142,Aluminium Rods,586,280.00,"164,080.00",18,"29,534.40","193,614.40",60,09/14/2023,Pending,Email,AP Clerk - Mohan,
INV/V003/25375,19-08-2023,08/21/2023,V003,Gupta Packaging,PO/FY24/0143,GRN/FY24/0143,Rubber Gaskets,662,52.00,"34,424.00",18,"6,196.32","40,620.32",30,18-09-2023,Pending,Courier,AP Clerk - Sunita,
INV/V004/33267,20-04-2023,20-04-2023,V004,Singh Logistics,PO/FY24/0144,GRN/FY24/0144,Cutting Tools Set,695,"1,450.00","1,007,750.00",18,"181,395.00","1,189,145.00",30,20-05-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V005/55872,29-09-2023,29-09-2023,V005,Mehta Industries,PO/FY24/0145,GRN/FY24/0145,Lubricating Oil,734,490.00,"359,660.00",18,"64,738.80","424,398.80",45,13/11/2023,Pending,Email,AP Clerk - Sunita,
INV/V006/62982,21-08-2023,21-08-2023,V006,Joshi Components,PO/FY24/0146,GRN/FY24/0146,Corrugated Boxes,178,22.00,"3,916.00",12,469.92,"4,385.92",30,20-09-2023,Pending,Email,AP Clerk - Mohan,
INV/V007/76288,30-09-2023,01-10-2023,V007,Agarwal Metals,PO/FY24/0147,GRN/FY24/0147,Ball Bearings,361,260.00,"93,860.00",18,"16,894.80","110,754.80",60,29-11-2023,Pending,Email,AP Clerk - Mohan,
INV/V008/81794,25-02-2024,28-02-2024,V008,Patel Suppliers,PO/FY24/0148,GRN/FY24/0148,Hydraulic Hoses,686,720.00,"493,920.00",18,"88,905.60","582,825.60",45,10-04-2024,Pending,Courier,AP Clerk - Ramesh,
INV/V009/49768,12/04/2024,14-04-2024,V009,Kumar Trading,PO/FY24/0149,GRN/FY24/0149,Safety Gloves,599,95.00,"56,905.00",5,"2,845.25","59,750.25",45,27-05-2024,Pending,Email,AP Clerk - Sunita,
INV/V010/70454,10-01-2024,10-01-2024,V010,Verma Auto Parts,PO/FY24/0150,GRN/FY24/0150,Welding Rods,362,210.00,"76,020.00",18,"13,683.60","89,703.60",60,03/10/2024,Pending,Email,AP Clerk - Sunita,
INV/V001/25017,14-06-2023,16/06/2023,V001,Sharma Enterprises,PO/FY24/0151,GRN/FY24/0151,Steel Sheets 2mm,677,180.00,"121,860.00",18,"21,934.80","143,794.80",30,14-07-2023,Pending,Email,AP Clerk - Sunita,
INV/V002/54127,09-04-2024,10-04-2024,V002,Rajput Steel Works,PO/FY24/0152,GRN/FY24/0152,Aluminium Rods,743,280.00,"208,040.00",18,"37,447.20","245,487.20",30,05/09/2024,Pending,Email,AP Clerk - Sunita,
INV/V003/33400,18/01/2024,01/21/2024,V003,Gupta Packaging,PO/FY24/0153,GRN/FY24/0153,Rubber Gaskets,263,52.00,"13,676.00",18,"2,461.68","16,137.68",45,03-03-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V004/87117,07/06/2023,07-07-2023,V004,Singh Logistics,PO/FY24/0154,GRN/FY24/0154,Cutting Tools Set,787,"1,450.00","1,141,150.00",18,"205,407.00","1,346,557.00",60,04-09-2023,Pending,Email,AP Clerk - Sunita,
INV/V005/45542,19-03-2024,22-03-2024,V005,Mehta Industries,PO/FY24/0155,GRN/FY24/0155,Lubricating Oil,200,490.00,"98,000.00",18,"17,640.00","115,640.00",60,18/05/2024,Pending,Email,AP Clerk - Ramesh,
INV/V006/68367,05/09/2023,11/05/2023,V006,Joshi Components,PO/FY24/0156,GRN/FY24/0156,Corrugated Boxes,549,22.00,"12,078.00",12,"1,449.36","13,527.36",60,08/07/2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V007/71001,18/01/2024,19-01-2024,V007,Agarwal Metals,PO/FY24/0157,GRN/FY24/0157,Ball Bearings,253,260.00,"65,780.00",18,"11,840.40","77,620.40",30,17/02/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V008/80295,18-03-2024,21-03-2024,V008,Patel Suppliers,PO/FY24/0158,GRN/FY24/0158,Hydraulic Hoses,509,720.00,"366,480.00",18,"65,966.40","432,446.40",30,04/17/2024,Pending,Email,AP Clerk - Mohan,
INV/V009/45966,20-02-2024,23-02-2024,V009,Kumar Trading,PO/FY24/0159,GRN/FY24/0159,Safety Gloves,409,95.00,"38,855.00",5,"1,942.75","40,797.75",60,20-04-2024,Pending,Email,AP Clerk - Mohan,
INV/V010/13280,06/08/2023,06/11/2023,V010,Verma Auto Parts,PO/FY24/0160,GRN/FY24/0160,Welding Rods,487,210.00,"102,270.00",18,"18,408.60","120,678.60",30,07/08/2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/26873,06/27/2023,30-06-2023,V001,Sharma Enterprises,PO/FY24/0161,GRN/FY24/0161,Steel Sheets 2mm,68,180.00,"12,240.00",18,"2,203.20","14,443.20",60,08/26/2023,Pending,Email,AP Clerk - Ramesh,
INV/V002/64668,19-08-2023,19-08-2023,V002,Rajput Steel Works,PO/FY24/0162,GRN/FY24/0162,Aluminium Rods,442,280.00,"123,760.00",18,"22,276.80","146,036.80",45,03-10-2023,Pending,Email,AP Clerk - Sunita,
INV/V003/36853,03-10-2023,04-10-2023,V003,Gupta Packaging,PO/FY24/0163,GRN/FY24/0163,Rubber Gaskets,540,52.00,"28,080.00",18,"5,054.40","33,134.40",45,17-11-2023,Pending,Email,AP Clerk - Mohan,
INV/V004/52653,16-10-2023,19-10-2023,V004,Singh Logistics,PO/FY24/0164,GRN/FY24/0164,Cutting Tools Set,372,"1,450.00","539,400.00",18,"97,092.00","636,492.00",30,15-11-2023,Pending,Courier,AP Clerk - Ramesh,
INV/V005/55875,11-03-2024,03/12/2024,V005,Mehta Industries,PO/FY24/0165,GRN/FY24/0165,Lubricating Oil,450,490.00,"220,500.00",18,"39,690.00","260,190.00",60,05/10/2024,Pending,Email,AP Clerk - Sunita,
INV/V006/53699,19-11-2023,22-11-2023,V006,Joshi Components,PO/FY24/0166,GRN/FY24/0166,Corrugated Boxes,95,22.00,"2,090.00",12,250.80,"2,340.80",45,01/03/2024,Pending,Courier,AP Clerk - Ramesh,
INV/V007/26825,02-11-2023,04-11-2023,V007,Agarwal Metals,PO/FY24/0167,GRN/FY24/0167,Ball Bearings,96,260.00,"24,960.00",18,"4,492.80","29,452.80",30,02/12/2023,Pending,Email,AP Clerk - Mohan,
INV/V008/36901,05-05-2024,05/08/2024,V008,Patel Suppliers,PO/FY24/0168,GRN/FY24/0168,Hydraulic Hoses,325,720.00,"234,000.00",18,"42,120.00","276,120.00",30,04-06-2024,Pending,Portal,AP Clerk - Sunita,
INV/V009/48173,28/07/2023,30-07-2023,V009,Kumar Trading,PO/FY24/0169,GRN/FY24/0169,Safety Gloves,560,95.00,"53,200.00",5,"2,660.00","55,860.00",45,11/09/2023,Pending,Courier,AP Clerk - Ramesh,
INV/V010/71668,06/30/2023,02-07-2023,V010,Verma Auto Parts,PO/FY24/0170,GRN/FY24/0170,Welding Rods,512,210.00,"107,520.00",18,"19,353.60","126,873.60",45,14-08-2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/30702,22/04/2023,04/22/2023,V001,Sharma Enterprises,PO/FY24/0171,GRN/FY24/0171,Steel Sheets 2mm,451,180.00,"81,180.00",18,"14,612.40","95,792.40",30,22/05/2023,Pending,Email,AP Clerk - Ramesh,
INV/V002/54989,07/24/2023,27-07-2023,V002,Rajput Steel Works,PO/FY24/0172,GRN/FY24/0172,Aluminium Rods,335,280.00,"93,800.00",18,"16,884.00","110,684.00",30,23-08-2023,Pending,Portal,AP Clerk - Mohan,
INV/V003/25396,20-08-2023,22-08-2023,V003,Gupta Packaging,PO/FY24/0173,GRN/FY24/0173,Rubber Gaskets,561,52.00,"29,172.00",18,"5,250.96","34,422.96",45,04-10-2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/51163,30-06-2023,07/03/2023,V004,Singh Logistics,PO/FY24/0174,GRN/FY24/0174,Cutting Tools Set,61,"1,450.00","88,450.00",18,"15,921.00","104,371.00",45,14-08-2023,Pending,Email,AP Clerk - Sunita,
INV/V005/85198,01/16/2024,17/01/2024,V005,Mehta Industries,PO/FY24/0175,GRN/FY24/0175,Lubricating Oil,786,490.00,"385,140.00",18,"69,325.20","454,465.20",45,03/01/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V006/17111,08-03-2024,10-03-2024,V006,Joshi Components,PO/FY24/0176,GRN/FY24/0176,Corrugated Boxes,160,22.00,"3,520.00",12,422.40,"3,942.40",30,07-04-2024,Pending,Courier,AP Clerk - Ramesh,
INV/V007/66986,07/12/2023,12-07-2023,V007,Agarwal Metals,PO/FY24/0177,GRN/FY24/0177,Ball Bearings,793,260.00,"206,180.00",18,"37,112.40","243,292.40",30,08/11/2023,Pending,Email,AP Clerk - Mohan,
INV/V008/99264,17-09-2023,18-09-2023,V008,Patel Suppliers,PO/FY24/0178,GRN/FY24/0178,Hydraulic Hoses,158,720.00,"113,760.00",18,"20,476.80","134,236.80",45,01-11-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V009/13828,07-02-2024,10-02-2024,V009,Kumar Trading,PO/FY24/0179,GRN/FY24/0179,Safety Gloves,753,95.00,"71,535.00",5,"3,576.75","75,111.75",45,03/23/2024,Pending,Email,AP Clerk - Ramesh,
INV/V010/98487,10/04/2024,10/04/2024,V010,Verma Auto Parts,PO/FY24/0180,GRN/FY24/0180,Welding Rods,552,210.00,"115,920.00",18,"20,865.60","136,785.60",30,10-05-2024,Pending,Email,AP Clerk - Sunita,
INV/V001/21332,18-11-2023,21/11/2023,V001,Sharma Enterprises,PO/FY24/0181,GRN/FY24/0181,Steel Sheets 2mm,694,180.00,"124,920.00",18,"22,485.60","147,405.60",45,02-01-2024,Pending,Email,AP Clerk - Mohan,
INV/V002/52851,24-06-2023,25/06/2023,V002,Rajput Steel Works,PO/FY24/0182,GRN/FY24/0182,Aluminium Rods,588,280.00,"164,640.00",18,"29,635.20","194,275.20",30,24/07/2023,Pending,Email,AP Clerk - Sunita,
INV/V003/80496,01-06-2023,01-06-2023,V003,Gupta Packaging,PO/FY24/0183,GRN/FY24/0183,Rubber Gaskets,668,52.00,"34,736.00",18,"6,252.48","40,988.48",60,31-07-2023,Pending,Email,AP Clerk - Sunita,
INV/V004/31333,04/23/2024,26-04-2024,V004,Singh Logistics,PO/FY24/0184,GRN/FY24/0184,Cutting Tools Set,453,"1,450.00","656,850.00",18,"118,233.00","775,083.00",30,23-05-2024,Pending,Portal,AP Clerk - Ramesh,
INV/V005/80749,28-04-2024,29-04-2024,V005,Mehta Industries,PO/FY24/0185,GRN/FY24/0185,Lubricating Oil,384,490.00,"188,160.00",18,"33,868.80","222,028.80",60,27-06-2024,Pending,Email,AP Clerk - Sunita,
INV/V006/61289,31/07/2023,01-08-2023,V006,Joshi Components,PO/FY24/0186,GRN/FY24/0001,Corrugated Boxes,99,22.00,"2,178.00",12,261.36,"2,439.36",30,30-08-2023,Pending,Email,AP Clerk - Mohan,
INV/V007/83699,29-05-2023,29-05-2023,V007,Agarwal Metals,PO/FY24/0187,GRN/FY24/0002,Ball Bearings,429,260.00,"111,540.00",18,"20,077.20","131,617.20",45,13-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V008/77641,31-03-2024,31-03-2024,V008,Patel Suppliers,PO/FY24/0188,GRN/FY24/0003,Hydraulic Hoses,289,720.00,"208,080.00",18,"37,454.40","245,534.40",60,30-05-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V009/61608,03/19/2024,19-03-2024,V009,Kumar Trading,PO/FY24/0189,GRN/FY24/0004,Safety Gloves,728,95.00,"69,160.00",5,"3,458.00","72,618.00",60,18-05-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V010/73012,08/24/2023,27-08-2023,V010,Verma Auto Parts,PO/FY24/0190,GRN/FY24/0005,Welding Rods,407,210.00,"85,470.00",18,"15,384.60","100,854.60",45,10/08/2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V001/19486,19/12/2023,21-12-2023,V001,Sharma Enterprises,PO/FY24/0191,GRN/FY24/0006,Steel Sheets 2mm,317,180.00,"57,060.00",18,"10,270.80","67,330.80",45,02/02/2024,Pending,Email,AP Clerk - Ramesh,
INV/V002/96258,16-03-2024,03/17/2024,V002,Rajput Steel Works,PO/FY24/0192,GRN/FY24/0007,Aluminium Rods,705,280.00,"197,400.00",18,"35,532.00","232,932.00",30,15-04-2024,Pending,WhatsApp,AP Clerk - Mohan,
INV/V003/57123,27-03-2024,28-03-2024,V003,Gupta Packaging,PO/FY24/0193,GRN/FY24/0008,Rubber Gaskets,500,52.00,"26,000.00",18,"4,680.00","30,680.00",30,26-04-2024,Pending,Portal,AP Clerk - Ramesh,
INV/V004/55129,12/08/2023,13-08-2023,V004,Singh Logistics,PO/FY24/0194,GRN/FY24/0009,Cutting Tools Set,101,"1,450.00","146,450.00",18,"26,361.00","172,811.00",60,11-10-2023,Pending,Courier,AP Clerk - Sunita,
INV/V005/47634,28-08-2023,08/30/2023,V005,Mehta Industries,PO/FY24/0195,GRN/FY24/0010,Lubricating Oil,460,490.00,"225,400.00",18,"40,572.00","265,972.00",45,12-10-2023,Pending,Email,AP Clerk - Mohan,
INV/V006/32880,21-06-2023,24-06-2023,V006,Joshi Components,PO/FY24/0196,GRN/FY24/0011,Corrugated Boxes,647,22.00,"14,234.00",12,"1,708.08","15,942.08",60,20-08-2023,Pending,Portal,AP Clerk - Mohan,
INV/V007/97452,19-03-2024,22-03-2024,V007,Agarwal Metals,PO/FY24/0197,GRN/FY24/0012,Ball Bearings,657,260.00,"170,820.00",18,"30,747.60","201,567.60",45,03-05-2024,Pending,Portal,AP Clerk - Mohan,
INV/V008/39978,08-08-2023,11-08-2023,V008,Patel Suppliers,PO/FY24/0198,GRN/FY24/0013,Hydraulic Hoses,173,720.00,"124,560.00",18,"22,420.80","146,980.80",30,07-09-2023,Pending,Email,AP Clerk - Mohan,
INV/V009/94604,15-10-2023,16-10-2023,V009,Kumar Trading,PO/FY24/0199,GRN/FY24/0014,Safety Gloves,595,95.00,"56,525.00",5,"2,826.25","59,351.25",60,14-12-2023,Pending,Email,AP Clerk - Ramesh,
INV/V010/24875,19-09-2023,19-09-2023,V010,Verma Auto Parts,PO/FY24/0200,GRN/FY24/0015,Welding Rods,425,210.00,"89,250.00",18,"16,065.00","105,315.00",60,18/11/2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/22831,08/04/2023,06/08/2023,V001,Sharma Enterprises,PO/FY24/0001,GRN/FY24/0016,Steel Sheets 2mm,439,180.00,"79,020.00",18,"14,223.60","93,243.60",60,03-10-2023,Pending,Email,AP Clerk - Ramesh,
INV/V002/86530,18-12-2023,20-12-2023,V002,Rajput Steel Works,PO/FY24/0002,GRN/FY24/0017,Aluminium Rods,750,280.00,"210,000.00",18,"37,800.00","247,800.00",45,02/01/2024,Pending,Portal,AP Clerk - Sunita,
INV/V003/62136,11-04-2023,12-04-2023,V003,Gupta Packaging,PO/FY24/0003,GRN/FY24/0018,Rubber Gaskets,432,52.00,"22,464.00",18,"4,043.52","26,507.52",45,26/05/2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V004/79641,11-12-2023,12-12-2023,V004,Singh Logistics,PO/FY24/0004,GRN/FY24/0019,Cutting Tools Set,783,"1,450.00","1,135,350.00",18,"204,363.00","1,339,713.00",45,01/25/2024,Pending,Portal,AP Clerk - Mohan,
INV/V005/82199,20-07-2023,22-07-2023,V005,Mehta Industries,PO/FY24/0005,GRN/FY24/0020,Lubricating Oil,258,490.00,"126,420.00",18,"22,755.60","149,175.60",30,08/19/2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V006/64945,22-06-2023,24/06/2023,V006,Joshi Components,PO/FY24/0006,GRN/FY24/0021,Corrugated Boxes,416,22.00,"9,152.00",12,"1,098.24","10,250.24",45,06/08/2023,Pending,Email,AP Clerk - Sunita,
INV/V007/71982,18/10/2023,10/21/2023,V007,Agarwal Metals,PO/FY24/0007,GRN/FY24/0022,Ball Bearings,565,260.00,"146,900.00",18,"26,442.00","173,342.00",30,11/17/2023,Pending,Email,AP Clerk - Mohan,
INV/V008/41578,10-03-2024,12-03-2024,V008,Patel Suppliers,PO/FY24/0008,GRN/FY24/0023,Hydraulic Hoses,697,720.00,"501,840.00",18,"90,331.20","592,171.20",60,05/09/2024,Pending,Email,AP Clerk - Ramesh,
INV/V009/36965,17-09-2023,09/20/2023,V009,Kumar Trading,PO/FY24/0009,GRN/FY24/0024,Safety Gloves,705,95.00,"66,975.00",5,"3,348.75","70,323.75",60,16-11-2023,Pending,Email,AP Clerk - Ramesh,
INV/V010/70316,04-05-2024,04-05-2024,V010,Verma Auto Parts,PO/FY24/0010,GRN/FY24/0025,Welding Rods,107,210.00,"22,470.00",18,"4,044.60","26,514.60",60,03-07-2024,Pending,Email,AP Clerk - Sunita,
INV/V001/56672,05-06-2023,07/06/2023,V001,Sharma Enterprises,PO/FY24/0011,GRN/FY24/0026,Steel Sheets 2mm,148,180.00,"26,640.00",18,"4,795.20","31,435.20",45,20-07-2023,Pending,Email,AP Clerk - Sunita,
INV/V002/88568,05-05-2023,05/05/2023,V002,Rajput Steel Works,PO/FY24/0012,GRN/FY24/0027,Aluminium Rods,376,280.00,"105,280.00",18,"18,950.40","124,230.40",60,04/07/2023,Pending,Email,AP Clerk - Sunita,
INV/V003/20456,02-04-2024,05/04/2024,V003,Gupta Packaging,PO/FY24/0013,GRN/FY24/0028,Rubber Gaskets,563,52.00,"29,276.00",18,"5,269.68","34,545.68",60,01-06-2024,Pending,Portal,AP Clerk - Mohan,
INV/V004/69418,29-08-2023,30-08-2023,V004,Singh Logistics,PO/FY24/0014,GRN/FY24/0029,Cutting Tools Set,445,"1,450.00","645,250.00",18,"116,145.00","761,395.00",60,10/28/2023,Pending,Email,AP Clerk - Mohan,
INV/V005/55966,10-10-2023,12-10-2023,V005,Mehta Industries,PO/FY24/0015,GRN/FY24/0030,Lubricating Oil,504,490.00,"246,960.00",18,"44,452.80","291,412.80",60,09-12-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V006/16150,01/03/2024,03-03-2024,V006,Joshi Components,PO/FY24/0016,GRN/FY24/0031,Corrugated Boxes,371,22.00,"8,162.00",12,979.44,"9,141.44",60,30-04-2024,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V007/97810,28-08-2023,29-08-2023,V007,Agarwal Metals,PO/FY24/0017,GRN/FY24/0032,Ball Bearings,498,260.00,"129,480.00",18,"23,306.40","152,786.40",60,27-10-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V008/43830,19-07-2023,22/07/2023,V008,Patel Suppliers,PO/FY24/0018,GRN/FY24/0033,Hydraulic Hoses,596,720.00,"429,120.00",18,"77,241.60","506,361.60",45,02-09-2023,Pending,Courier,AP Clerk - Ramesh,
INV/V009/20943,21/10/2023,23-10-2023,V009,Kumar Trading,PO/FY24/0019,GRN/FY24/0034,Safety Gloves,213,95.00,"20,235.00",5,"1,011.75","21,246.75",45,05-12-2023,Pending,Email,AP Clerk - Mohan,
INV/V010/17223,30-06-2023,02/07/2023,V010,Verma Auto Parts,PO/FY24/0020,GRN/FY24/0035,Welding Rods,438,210.00,"91,980.00",18,"16,556.40","108,536.40",45,14-08-2023,Pending,Email,AP Clerk - Ramesh,
